Player_Name,Title,Country,Date_of_Birth,Birthplace,World_Rank,Rapid_Rating,Blitz_Rating,Classical_Rating,Retired,Date_Collected
Magnus Carlsen,GM,Norway,"Nov 30, 1990","Tønsberg, Norway",1,2881,2886,2863,Active,2020-09-07
Michael Adams,GM,England,"Nov 17, 1971","Truro, Cornwall, England, UK",34,2684,2742,2706,Active,2020-09-07
David Navara,GM,Czech Republic,"Mar 27, 1985","Prague, Czechoslovakia",33,2717,2745,2707,Active,2020-09-07
Yu Yangyi,GM,China,"Jun 8, 1994","Huangshi, Hubei, China",32,2738,2808,2709,Active,2020-09-07
Jeffery Xiong,GM,United States,"Oct 30, 2000","Plano, Texas (US)",31,2730,2724,2709,Active,2020-09-07
Le Quang Liem,GM,Vietnam,"Mar 13, 1991","Ho Chi Minh City, Vietnam",30,2744,2690,2709,Active,2020-09-07
Francisco Vallejo Pons,GM,Spain,"Aug 21, 1982","Es Castell, Menorca (Spain)",29,2656,2615,2710,Active,2020-09-07
Vladislav Artemiev,GM,Russia,"Mar 5, 1998","Omsk, Russia",28,2769,2783,2716,Active,2020-09-07
Radoslaw Wojtaszek,GM,Poland,"Jan 13, 1987","Elbląg, Poland",27,2703,2730,2717,Active,2020-09-07
Nikita Vitiugov,GM,Russia,"Feb 4, 1987","Leningrad, Russian SFSR, USSR (now Saint Petersburg, Russia)",26,2616,2673,2722,Active,2020-09-07
Peter Svidler,GM,Russia,"Jun 17, 1976","Leningrad, Russian SFSR, Soviet Union",25,2742,2754,2723,Active,2020-09-07
Dmitry Andreikin,GM,Russia,"Feb 5, 1990","Ryazan, Russian SFSR, Soviet Union",24,2740,2782,2726,Active,2020-09-07
Santosh Gujrathi Vidit,GM,India,"Oct 24, 1994","Nashik, Maharashtra (India)",23,2636,2735,2726,Active,2020-09-07
Alireza Firouzja,GM,Iran,"Jun 18, 2003","Babol, Iran",22,2703,2770,2728,Active,2020-09-07
Li Chao,GM,China,"Apr 21, 1989","Taiyuan, Shanxi (China)",50,2645,2693,2683,Active,2020-09-07
Vladimir Akopian,GM,Armenia,"Dec 7, 1971","Baku, Azerbaijan Soviet Socialist Republic, Soviet Union",100,2668,2641,2638,Active,2020-09-07
Tatev Abrahamyan,WGM,United States,"Jan 13, 1988","Yerevan, Armenian SSR, Soviet Union",123,0,2352,2358,Active,2020-09-07
Thanh Trang Hoang,GM,Hungary,"Apr 25, 1980","Hanoi, Vietnam",122,2338,2364,2407,Active,2020-09-07
Anna Ushenina,GM,Ukraine,"Aug 30, 1985","Kharkiv, Ukrainian SSR, Soviet Union",121,2376,2387,2416,Active,2020-09-07
Valentina Gunina,GM,Russia,"Feb 4, 1989","Murmansk, Russian SFSR, Soviet Union",120,2427,2476,2431,Active,2020-09-07
Bela Khotenashvili,GM,Georgia,"May 1, 1988","Telavi, Georgian SSR, Soviet Union",119,2413,2320,2463,Active,2020-09-07
Pia Cramling,GM,Sweden,"Apr 23, 1963","Stockholm, Sweden",118,2396,2320,2464,Active,2020-09-07
Alexandra Kosteniuk,GM,Russia,"Apr 23, 1984","Perm, Russian SFSR, Soviet Union",117,2517,2521,2471,Active,2020-09-07
Zhao Xue,GM,China,"Apr 6, 1985","Jinan, Shandong, China",116,2442,2407,2486,Active,2020-09-07
Ulf Andersson,GM,Sweden,"Jun 27, 1951","Västerås, Sweden",115,2493,2467,2516,Active,2020-09-07
Nana Dzagnidze,GM,Georgia,"Dec 1, 1986","Kutaisi, Georgian SSR, Soviet Union",114,2447,2391,2524,Active,2020-09-07
Jan H Timman,GM,Netherlands,"Dec 14, 1951","Amsterdam, The Netherlands",113,2472,2501,2533,Active,2020-09-07
Anna Muzychuk,GM,Ukraine,"Feb 28, 1990","Lviv, Ukrainian SSR, Soviet Union",112,2533,2505,2535,Active,2020-09-07
Viktorija Cmilyte,GM,Lithuania,"Aug 6, 1983","Šiauliai, Lithuanian SSR, USSR",111,2394,2435,2538,Active,2020-09-07
Mariya Muzychuk,GM,Ukraine,"Sep 21, 1992","Lviv, Ukraine",110,2506,2326,2544,Active,2020-09-07
Kateryna Lagno,GM,Russia,"Dec 27, 1989","Lviv, Ukrainian SSR, Soviet Union",109,2521,2608,2546,Active,2020-09-07
Ju Wenjun,GM,China,"Jan 31, 1991","Shangai, China",108,2610,2536,2560,Active,2020-09-07
Gukesh D,GM,India,"May 29, 2006","Chennai, Tamil Nadu, India",107,1927,2376,2563,Active,2020-09-07
Aleksandra Goryachkina,GM,Russia,"Sep 28, 1998","Orsk, Russia",106,2502,2441,2582,Active,2020-09-07
Humpy Koneru,GM,India,"Mar 31, 1987","Vijayawada, Andhra Pradesh, India",105,2483,2483,2586,Active,2020-09-07
Baadur Jobava,GM,Georgia,"Nov 26, 1983","Gali, Georgian SSR, Soviet Union",104,2676,2748,2603,Active,2020-09-07
Alexander Khalifman,GM,Russia,"Jan 18, 1966","Leningrad, Russian SFSR, Soviet Union",103,2522,0,2608,Active,2020-09-07
Anatoly Karpov,GM,Russia,"May 23, 1951","Zlatoust, Russian SFSR, Soviet Union",102,2583,2607,2617,Active,2020-09-07
Ruslan Ponomariov,GM,Ukraine,"Oct 11, 1983","Horlivka, Ukrainian SSR, Soviet Union",101,2673,2703,2631,Active,2020-09-07
Ivan Saric,GM,Croatia,"Aug 17, 1990","Split, Croatia",99,2650,2560,2646,Active,2020-09-07
Alexei Shirov,GM,Spain,"Jul 4, 1972","Riga, Latvian SSR, Soviet Union",98,2625,2682,2647,Active,2020-09-07
Vladislav Kovalev,GM,Belarus,"Jan 6, 1994","Minsk, Belarus",97,2633,2573,2648,Active,2020-09-07
Evgeniy Najer,GM,Russia,"Jun 22, 1977","Moscow, Russia",96,2576,2578,2648,Active,2020-09-07
Alexander Onischuk,GM,United States,"Sep 3, 1975","Sevastopol, Ukrainian SSR, Soviet Union",95,2693,2650,2649,Active,2020-09-07
Dariusz Swiercz,GM,United States,"May 31, 1994","Tarnowskie Góry, Poland",94,2649,2661,2649,Active,2020-09-07
Andrei Volokitin,GM,Russia,"Jun 18, 1986","Lviv, Ukrainian SSR, Soviet Union",93,2648,2568,2650,Active,2020-09-07
